driverId,position,fastestLapTime,year,round,name,datetime
817,7,01:22.7,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
857,8,01:22.8,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
848,9,01:22.8,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
839,10,01:23.0,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
842,11,01:23.2,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
852,12,01:22.5,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
807,13,01:23.2,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
855,14,01:23.6,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
822,15,01:23.2,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
858,16,01:23.0,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
840,17,01:23.3,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
4,,01:23.5,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
825,,01:23.1,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
815,,,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
830,1,01:40.0,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
846,2,01:40.0,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
832,3,01:40.0,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
815,4,01:39.7,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
847,5,01:39.4,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
842,6,01:40.4,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
840,7,01:39.9,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
852,8,01:38.1,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
848,9,01:41.4,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
858,10,01:41.2,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
807,11,01:40.9,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
822,12,01:42.0,2023,18,United States Grand Prix,2023-10-22T19:00:00.000
